linkPVID, refSlope, probeSlope, diff
78663070, -0.168250, -84.925961, 84.757711
62015011, -3.079182, -0.102014, -2.977168
61780058, 3.934667, 30.087705, -26.153038
565016848, 0.218611, 0.122967, 0.095645
792531551, 0.330000, -81.276564, 81.606564
67959707, 0.103667, -0.171158, 0.274824
753496848, -0.037333, 0.046471, -0.083804
80681842, 0.009500, 0.000000, 0.009500
53670299, 0.061444, -0.047302, 0.108746
592196685, -0.024500, 0.052244, -0.076744
61405366, 0.290000, -0.293665, 0.583665
764199945, 0.003125, -0.034411, 0.037536
554721714, -0.871909, 0.081466, -0.953375
68095367, 2.897941, -0.042802, 2.940743
51753165, -1.867500, -0.073678, -1.793822
75419640, 0.473000, 0.077007, 0.395993
51737063, 0.059286, 0.100334, -0.041048
51737163, 0.475385, 0.135919, 0.339466
586495643, -0.784750, 0.078462, -0.863212
554736954, 0.569636, 1.582173, -1.012537
763877055, -0.369769, 0.231782, -0.601551
716091241, 0.138778, 0.000000, 0.138778
762731855, 0.282833, -0.034508, 0.317341
576444824, 0.421083, -0.050158, 0.471241
550095314, 1.425571, -0.080229, 1.505800
61910571, -1.126333, -64.935534, 63.809201
764545370, -0.901400, 0.144919, -1.046319
762125207, -3.267071, -0.039785, -3.227287
550096845, -0.580313, -0.162297, -0.418016
554724708, 0.272304, 0.087225, 0.185080
76194200, -0.440125, 0.040586, -0.480711
74591178, -1.167500, 0.000000, -1.167500
78660950, -1.586077, 0.061920, -1.647997
78661187, 0.857778, -0.143338, 1.001116
79809153, -0.019500, 26.862998, -26.882498
540645969, -0.331167, -0.200202, -0.130964
79937889, 0.252500, 0.416132, -0.163632
763022958, -0.059667, -0.098370, 0.038704
762926210, 0.015500, -54.028104, 54.043604
763059342, -1.187000, -0.082051, -1.104949
576448664, 0.348222, -0.025056, 0.373278
762997988, -0.367600, -0.062035, -0.305565
78660794, -3.035125, 0.049605, -3.084730
763883896, 0.799091, 0.335712, 0.463379
554728435, -0.659688, -0.030495, -0.629193
718040994, -0.465250, 0.000000, -0.465250
51763196, 0.175500, 63.818960, -63.643460
554722290, 0.636000, 0.000000, 0.636000
572245832, -1.293333, 0.021813, -1.315146
781586681, -2.438667, 0.154020, -2.592687
550097557, -2.207040, -0.042565, -2.164475
550097541, 0.649846, 0.049622, 0.600224
62068091, 1.919667, -0.063791, 1.983457
572247852, 0.791000, 0.029891, 0.761109
756555973, -3.665125, 0.000000, -3.665125
75421837, 1.056500, -0.409149, 1.465649
576448467, -1.766200, -0.006938, -1.759262
554721641, 0.095400, -0.085683, 0.181083
554733115, -0.133500, -0.071406, -0.062094
550047006, 1.373250, 0.034708, 1.338542
554772815, 0.621579, 28.891091, -28.269512
763608912, 0.590400, 0.353959, 0.236441
761977027, 0.038625, -0.031584, 0.070209
761961219, 0.940083, -0.024998, 0.965082
762431430, -1.186000, 0.050627, -1.236627
572231437, 0.375200, -0.357380, 0.732580
